iter	Passed	Remaining
0	1	190
1	5	252
2	5	189
3	6	153
4	7	137
5	8	132
6	10	140
7	11	137
8	13	138
9	15	135
10	16	129
11	17	124
12	18	121
13	18	115
14	19	110
15	20	106
16	20	102
17	22	104
18	23	101
19	24	98
20	25	95
21	26	92
22	27	91
23	28	90
24	29	88
25	30	87
26	31	86
27	33	85
28	33	82
29	34	80
30	35	78
31	36	77
32	37	75
33	38	73
34	39	73
35	40	71
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	54	52
51	55	51
52	56	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	44
58	61	43
59	63	42
60	63	40
61	64	39
62	65	38
63	66	37
64	66	36
65	67	34
66	68	33
67	69	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	94	0
